N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
166,HD현대인프라코어,"7,720",10,-0.13%,"1,000","15,409","199,603",16.32,"612,243",4.99,15.29,
167,종근당,"122,400","2,000",-1.61%,"2,500","15,384","12,568",11.18,"57,776",11.30,13.62,
168,동원산업,"33,050",150,+0.46%,"1,000","15,363","46,483",1.67,"25,713",7.60,8.53,
169,금호타이어,"5,340",0,0.00%,"5,000","15,340","287,260",5.28,"200,858",24.72,-6.87,
170,오뚜기,"381,500","1,500",+0.39%,"5,000","15,290","4,008",9.11,"4,482",5.11,16.53,
171,롯데정밀화학,"59,000","2,000",+3.51%,"5,000","15,222","25,800",20.85,"162,204",6.42,6.51,
172,한국앤컴퍼니,"16,000",580,+3.76%,500,"15,190","94,935",10.41,"276,301",13.95,4.37,
173,에스디바이오센서,"12,150",100,+0.83%,500,"15,124","124,477",6.44,"263,508",-1.89,35.30,
174,대한전선,"12,100",180,+1.51%,"1,000","15,058","124,447",3.95,"562,240",33.06,3.32,
175,KBSTAR 머니마켓액티브,"51,230",10,+0.02%,0,"15,040","29,358",0.01,"46,525",N/A,N/A,
176,TIGER 미국필라델피아반도체나스닥,"12,895",20,-0.15%,0,"15,010","116,400",0.34,"216,389",N/A,N/A,
177,KG모빌리티,"7,970",80,+1.01%,"5,000","14,900","186,956",25.94,"302,194",36.39,-12.10,
178,DL이앤씨,"38,500",550,+1.45%,"5,000","14,897","38,694",26.70,"52,622",7.15,9.70,
179,KODEX 200선물인버스2X,"2,560",20,-0.78%,0,"14,840","579,700",2.26,"78,702,902",N/A,N/A,
180,두산퓨얼셀,"22,650",300,-1.31%,100,"14,834","65,494",11.75,"295,025",290.38,0.74,
181,두산,"88,600",700,-0.78%,"5,000","14,640","16,524",10.11,"67,805",-2.77,-36.00,
182,TIGER TOP10,"10,995",35,-0.32%,0,"14,530","132,150",2.69,"45,626",N/A,N/A,
183,효성,"68,900",300,+0.44%,"5,000","14,518","21,071",5.56,"19,905",-131.74,0.60,
184,SK가스,"155,700","3,000",+1.96%,"5,000","14,371","9,230",7.04,"6,205",3.39,11.53,
185,DGB금융지주,"8,480",0,0.00%,"5,000","14,344","169,146",45.63,"185,608",3.32,7.38,
186,에스엘,"30,850",250,+0.82%,500,"14,329","46,449",15.49,"52,559",5.26,9.87,
